Total Annual Sales for All Retailing including automotive fuel,Total Annual Sales for All Retailing excluding automotive fuel,Total Annual Sales for All Retailing including automotive fuel,Total Annual Sales for All Retailing excluding automotive fuel
TOTAL SALES IN 1986 £000s,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1987 £000s,,,
,,,
," 110,389,831 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1988 £000s,,,
,,TOTAL SALES IN 1995 £000s,
," 116,746,997 ",," 176,742,888 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1989 £000s,,,
,,TOTAL SALES IN 1996 £000s,
," 128,393,713 "," 206,723,354 "," 190,357,200 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1990 £000s,,,
,,TOTAL SALES IN 1997 £000s,
," 137,912,924 "," 213,756,465 "," 196,397,248 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1991 £000s,,,
,,TOTAL SALES IN 1998 £000s,
," 147,837,917 "," 221,183,108 "," 203,277,664 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1992 £000s,,,
,,TOTAL SALES IN 1999 £000s,
," 155,596,159 "," 227,822,604 "," 208,777,956 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1993 £000s,,,
,,TOTAL SALES IN 2000 £000s,
," 157,348,104 "," 237,933,364 "," 214,922,630 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1994 £000s,,,
,,TOTAL SALES IN 2001 £000s,
," 164,636,426 "," 248,699,668 "," 226,821,585 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1995 £000s,,,
,,TOTAL SALES IN 2002 £000s,
," 171,527,023 "," 263,991,332 "," 242,061,792 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1996 £000s,,,
" 205,963,248 ",,TOTAL SALES IN 2003 £000s,
," 176,871,383 "," 265,634,544 "," 242,036,435 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1997 £000s,,,
" 213,144,011 ",,TOTAL SALES IN 2004 £000s,
," 189,665,425 "," 278,892,041 "," 253,970,105 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1998 £000s,,,
" 220,404,610 ",,TOTAL SALES IN 2005 £000s,
," 195,851,730 "," 281,684,888 "," 255,961,757 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 1999 £000s,,,
" 227,024,627 ",,TOTAL SALES IN 2006 £000s,
," 202,554,876 "," 292,213,202 "," 262,162,688 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2000 £000s,,,
" 237,864,894 ",,TOTAL SALES IN 2007 £000s,
," 208,033,714 "," 304,439,685 "," 272,153,776 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2001 £000s,,,
" 248,311,985 ",,TOTAL SALES IN 2008 £000s,
," 214,888,878 "," 322,266,445 "," 286,145,050 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2002 £000s,,,
" 263,302,595 ",,TOTAL SALES IN 2009 £000s,
," 226,460,228 "," 317,982,661 "," 285,691,378 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2003 £000s,,,
" 265,334,842 ",,TOTAL SALES IN 2010 £000s,
," 241,474,861 "," 326,939,333 "," 293,076,542 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2004 £000s,,,
" 277,849,366 ",,TOTAL SALES IN 2011 £000s,
," 241,759,328 "," 343,296,497 "," 302,886,995 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2005 £000s,,,
" 281,450,390 ",,TOTAL SALES IN 2012 £000s,
," 252,952,185 "," 351,989,660 "," 311,632,413 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2006 £000s,,,
" 292,109,671 ",,TOTAL SALES IN 2013 £000s,
," 255,685,812 "," 360,844,972 "," 321,738,164 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2007 £000s,,,
" 303,621,217 ",,TOTAL SALES IN 2014 £000s,
," 261,983,469 "," 379,118,715 "," 340,727,336 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2008 £000s,,,
" 321,177,934 ",,TOTAL SALES IN 2015 £000s,
," 271,352,222 "," 375,525,698 "," 340,272,675 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2009 £000s,,,
" 317,657,967 ",,TOTAL SALES IN 2016 £000s,
," 285,072,108 "," 387,696,062 "," 350,846,921 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2010 £000s,,,
" 326,241,671 ",,TOTAL SALES IN 2017 £000s,
," 285,273,309 "," 406,324,115 "," 366,689,833 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2011 £000s,,,
" 343,158,882 ",,TOTAL SALES IN 2018 £000s,
," 292,348,126 "," 425,240,521 "," 382,144,102 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2012 £000s,,,
" 351,048,733 ",,,
," 302,770,221 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2013 £000s,,,
" 360,107,178 ",,,
," 310,757,031 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2014 £000s,,,
" 378,053,197 ",,,
," 321,054,735 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2015 £000s,,,
" 374,817,477 ",,,
," 339,724,299 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2016 £000s,,,
" 387,696,081 ",,,
," 339,445,532 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2017 £000s,,,
" 405,780,949 ",,,
," 350,846,937 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOTAL SALES IN 2018 £000s,,,
" 423,726,123 ",,,
," 366,086,256 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
," 380,711,954 ",,
,,,
,,,
,,,
,,,
,,,
